收寄城市,寄达城市,委办_40t,委办_20t,委办_12t,自办_40t,自办_20t,自办_12t,邮路总条数,邮路总长度,城市间距离,车辆成本,大小边标记
保定,信阳,,,,,,,,,,,
保定,洛阳,,,,,,,,,,,
保定,武汉,,,,,,,,,,,
保定,荆州,,,,,,,,,,,
保定,襄阳,,,,,,,,,,,
保定,长沙,,,,,,,,,,,
保定,常德,,,,,,,,,,,
保定,衡阳,,,,,,,,,,,
保定,广州,,,,,,,,,,,
保定,汕头,,,,,,,,,,,
保定,深圳,,,,,,,,,,,
保定,东莞,,,,,,,,,,,
保定,湛江,,,,,,,,,,,
保定,中山,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2065.0,2065.0,21862.155,
保定,南宁,,,,,,,,,,,
保定,柳州,,,,,,,,,,,
保定,海口,,,,,,,,,,,
保定,重庆,,,,,,,,,,,
保定,成都,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1758.0,1758.0,25573.626,
保定,南充,,,,,,,,,,,
保定,内江,,,,,,,,,,,
保定,贵阳,,,,,,,,,,,
保定,昆明,,,,,,,,,,,
保定,大理州,,,,,,,,,,,
保定,拉萨,,,,,,,,,,,
保定,西安,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1870.0,935.0,27202.89,
保定,宝鸡,,,,,,,,,,,
保定,兰州,,,,,,,,,,,
保定,西宁,,,,,,,,,,,
保定,银川,,,,,,,,,,,
保定,乌鲁木齐,,,,,,,,,,,
保定,阿克苏,,,,,,,,,,,
保定,喀什,,,,,,,,,,,
太原,北京,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1016.0,508.0,9865.36,大
太原,天津,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1046.0,523.0,7753.998,小
