收寄城市,寄达城市,经转次数,路线,总距离,流量_集包,流量_大件,总流量,加权距离,加权经转次数
衡阳,石家庄,1,衡阳-武汉-石家庄,1414.0,32,814,846,0.2502385253163167,0.00017697208296769214
武汉,呼和浩特,0,武汉-呼和浩特,1406.0,108,2189,2297,0.6755861154314008,0.0
武汉,北京,0,武汉-北京,1156.0,270,6020,6290,1.521047858815605,0.0
武汉,杭州,0,武汉-杭州,745.0,162,3577,3739,0.5827015018570564,0.0
荆州,常州,1,荆州-武汉-常州,894.0,11,102,113,0.021132474900191718,2.3638115100885592e-05
武汉,阿克苏,0,武汉-阿克苏,4053.0,30,512,542,0.4595262126823717,0.0
郑州,合肥,0,郑州-合肥,598.0,165,2955,3120,0.39029247460733013,0.0
郑州,杭州,0,郑州-杭州,958.0,184,3413,3597,0.7208424373197725,0.0
郑州,广州,0,郑州-广州,1458.0,520,9500,10020,3.056044297409325,0.0
郑州,西安,0,郑州-西安,475.0,379,6948,7327,0.7280382560928288,0.0
郑州,洛阳,0,郑州-洛阳,124.0,133,2174,2307,0.059841666466195924,0.0
洛阳,天津,0,洛阳-天津,808.0,105,1244,1349,0.22801200314198664,0.0
洛阳,哈尔滨,0,洛阳-哈尔滨,2013.0,128,1394,1522,0.6409037709069192,0.0
洛阳,合肥,0,洛阳-合肥,651.0,67,685,752,0.10240784534397118,0.0
洛阳,南京,1,洛阳-西安-南京,1482.0,57,598,655,0.20305977619097923,0.00013701739284141648
洛阳,芜湖,1,洛阳-西安-芜湖,1436.0,25,248,273,0.08200710607761041,5.7108012588865195e-05
郑州,襄阳,1,郑州-西安-襄阳,943.0,58,1026,1084,0.21383331781864126,0.00022675855548106178
汕头,锦州,1,汕头-广州-锦州,2971.0,12,82,94,0.05842045094411259,1.9663564774188016e-05
汕头,济南,1,汕头-广州-济南,2257.0,63,487,550,0.2596741077918967,0.00011505277261492987
