start_trans_hub,end_trans_hub,zb_num,big_num
徐州,蚌埠,106,1932
徐州,襄阳,49,865
盐城,锦州,14,59
盐城,常州,64,348
盐城,贵阳,45,233
盐城,沈阳,58,344
盐城,青岛,59,339
盐城,武汉,66,393
扬州,哈尔滨,57,568
扬州,侯马,23,211
扬州,青岛,40,433
常州,西安,244,2433
常州,太原,145,1500
常州,蚌埠,93,941
南通,锦州,16,337
南通,侯马,20,413
南通,合肥,70,1612
南通,厦门,44,949
南通,郑州,85,1938
南通,信阳,38,796
南通,广州,187,4284
南通,贵阳,52,1117
合肥,锦州,62,612
合肥,太原,215,2271
合肥,常州,95,972
合肥,济南,369,3893
合肥,郑州,329,3559
安庆,天津,122,1237
安庆,常州,63,651
安庆,济南,186,1852
安庆,青岛,84,872
安庆,襄阳,31,291
安庆,中山,92,932
安庆,成都,212,2050
蚌埠,石家庄,165,1694
蚌埠,武汉,203,2145
蚌埠,信阳,106,1099
蚌埠,柳州,73,718
南京,昆明,114,1429
芜湖,南昌,66,789
安庆,鹰潭,24,213
济南,锦州,82,878
济南,青岛,298,3347
杭州,锦州,100,222
杭州,沈阳,546,1236
杭州,侯马,204,455
杭州,徐州,353,818
杭州,芜湖,158,354
杭州,安庆,137,303
杭州,青岛,353,822
杭州,武汉,670,1530
杭州,西安,653,1526
湖州,哈尔滨,187,504
湖州,福州,153,401
湖州,武汉,192,522
湖州,湛江,89,236
湖州,贵阳,371,999
嘉兴,常州,76,232
嘉兴,厦门,80,239
嘉兴,乌鲁木齐,95,289
宁波,锦州,36,277
宁波,常州,83,669
宁波,青岛,135,1113
宁波,鹰潭,31,238
宁波,南宁,188,1561
宁波,南充,73,557
宁波,银川,60,463
台州,呼和浩特,99,336
台州,济南,466,1667
台州,昆明,260,954
金华,沈阳,579,4329
金华,北京,743,5881
金华,徐州,381,2944
金华,合肥,500,3904
金华,南昌,487,3580
金华,襄阳,116,856
金华,漯河,292,2167
金华,银川,147,1090
金华,大理州,86,627
温州,天津,167,702
温州,北京,189,791
温州,长沙,307,1267
温州,南充,80,285
温州,西安,266,1041
温州,锦州,36,136
温州,芜湖,68,263
南昌,石家庄,153,1688
南昌,郑州,212,2366
南昌,南宁,170,1990
南昌,武汉,225,3257
鹰潭,石家庄,27,232
福州,汕头,80,893
福州,南昌,101,1298
泉州,太原,35,1111
泉州,北京,68,2291
泉州,徐州,29,860
泉州,常州,21,610
泉州,漯河,25,680
泉州,成都,93,3006
重庆,北京,79,3157
重庆,常州,20,672
重庆,济南,59,2083
重庆,衡阳,25,933
重庆,武汉,77,2792
重庆,南宁,69,2563
重庆,大理州,19,611
重庆,兰州,38,1389
长沙,银川,76,1129
长沙,徐州,94,1483
长沙,柳州,104,1661
衡阳,广州,116,3586
衡阳,贵阳,52,1448
武汉,广州,501,10898
武汉,常州,68,1385
武汉,长沙,346,7184
武汉,郑州,238,4903
武汉,漯河,93,1811
武汉,贵阳,184,3660
郑州,天津,245,4605
郑州,济南,414,7210
郑州,中山,148,2497
郑州,北京,431,8367
洛阳,济南,187,1808
洛阳,广州,218,2636
洛阳,信阳,74,682
洛阳,沈阳,144,1517
洛阳,徐州,57,579
洛阳,厦门,47,573
洛阳,汕头,50,576
漯河,锦州,13,330
漯河,广州,84,2098
郑州,沈阳,316,5593
郑州,长春,242,4236
郑州,长沙,291,5385
郑州,兰州,136,2446
广州,锦州,41,396
广州,昆明,209,2155
广州,乌鲁木齐,365,3473
广州,阿克苏,89,831
汕头,侯马,25,175
汕头,石家庄,48,330
